Source,Target,Weight
PHEDRE,PHEDRE,1522
PHEDRE,HIPPOLYTE,5361
HIPPOLYTE,PHEDRE,940
THESEE,PHEDRE,2474
PHEDRE,THESEE,1888
PHEDRE,OENONE,18754
OENONE,PHEDRE,8719
THESEE,HIPPOLYTE,4843
HIPPOLYTE,THESEE,4008
HIPPOLYTE,OENONE,1018
OENONE,HIPPOLYTE,562
HIPPOLYTE,THERAMENE,6314
THERAMENE,HIPPOLYTE,3966
PHEDRE,PANOPE,1175
PANOPE,PHEDRE,811
HIPPOLYTE,ARICIE,6654
ARICIE,HIPPOLYTE,2195
THESEE,THESEE,917
THESEE,OENONE,898
OENONE,THESEE,657
THESEE,THERAMENE,2192
THERAMENE,THESEE,4445
OENONE,THERAMENE,390
HIPPOLYTE,ISMENE,3801
THESEE,ARICIE,697
ARICIE,THESEE,1185
ARICIE,THERAMENE,371
THERAMENE,ARICIE,171
THESEE,PANOPE,2022
PANOPE,THESEE,881
THESEE,ISMENE,98
OENONE,PANOPE,102
PANOPE,OENONE,789
ARICIE,ISMENE,3748
ISMENE,ARICIE,1465
